id_pracownika;imie;nazwisko;stanowisko;numer_telefonu;adres_email
1;Gabriela;Jaszczuk;przewodnik;752247811;gabrielajaszczuk477@nowowiejska.com
2;Klara;Stefańczyk;przewodnik;792166799;klarastefańczyk962@nowowiejska.com
3;Aniela;Maksymiuk;przewodnik;577247204;anielamaksymiuk765@nowowiejska.com
4;Aurelia;Kuczyńska;przewodnik;470216990;aureliakuczyńska027@nowowiejska.com
5;Aniela;Klim;przewodnik;386934382;anielaklim080@nowowiejska.com
6;Nadia;Sydorenko;przewodnik;389311741;nadiasydorenko996@nowowiejska.com
7;Jagoda;Paziewska;przewodnik;489906456;jagodapaziewska618@nowowiejska.com
8;Anastazja;Tomkiewicz;przewodnik;365039081;anastazjatomkiewicz709@nowowiejska.com
9;Aleksandra;Gasińska;przewodnik;839304621;aleksandragasińska000@nowowiejska.com
10;Klara;Dymowska;przewodnik;787078173;klaradymowska648@nowowiejska.com
11;Kaja;Paruch;przewodnik;297510777;kajaparuch417@nowowiejska.com
12;Gabriela;Klonowska;przewodnik;858558429;gabrielaklonowska398@nowowiejska.com
13;Adrianna;Rydz;przewodnik;873317690;adriannarydz004@nowowiejska.com
14;Weronika;Barnaś;przewodnik;877637738;weronikabarnaś635@nowowiejska.com
15;Róża;Kulczycka;przewodnik;632662081;różakulczycka596@nowowiejska.com
16;Gabriela;Bednarz;przewodnik;317045058;gabrielabednarz574@nowowiejska.com
17;Nina;Jabłonka;przewodnik;879081306;ninajabłonka677@nowowiejska.com
18;Anastazja;Kwaśny;przewodnik;873556704;anastazjakwaśny871@nowowiejska.com
19;Melania;Stolc;przewodnik;740607422;melaniastolc318@nowowiejska.com
20;Blanka;Mocek;przewodnik;555397476;blankamocek136@nowowiejska.com
21;Klara;Osadnik;przewodnik;647622727;klaraosadnik566@nowowiejska.com
22;Pola;Fedorova;przewodnik;698035197;polafedorova234@nowowiejska.com
23;Aniela;Matoga;przewodnik;612526581;anielamatoga190@nowowiejska.com
24;Nela;Szczygieł;przewodnik;988911701;nelaszczygieł910@nowowiejska.com
25;Jagoda;Brzezicka;przewodnik;344996822;jagodabrzezicka917@nowowiejska.com
26;Nela;Raczek;przewodnik;938242006;nelaraczek465@nowowiejska.com
27;Martyna;Gosk;przewodnik;782931473;martynagosk588@nowowiejska.com
28;Nela;Bryś;przewodnik;481219335;nelabryś935@nowowiejska.com
29;Liwia;Balcer;przewodnik;452344034;liwiabalcer142@nowowiejska.com
