id_klienta;imię;nazwisko;data_urodzenia;numer telefonu;adres email;status_studenta
1;Sara;Śmiech;2003-12-31;516159427;saraśmiech670@wp.pl;1
2;Nadia;Teodorczyk;1994-10-31;237448731;nadiateodorczyk523@onet.pl;0
3;Lilianna;Kwaśnik;1998-09-30;612498966;liliannakwaśnik659@gmail.com;0
4;Helena;Kulej;1997-03-31;709093353;helenakulej303@wp.pl;0
5;Emilia;Burska;1999-12-31;274166035;emiliaburska871@onet.pl;0
6;Michalina;Smolarz;2005-03-31;235297775;michalinasmolarz746@wp.pl;0
7;Zuzanna;Róg;2001-08-31;626518509;zuzannaróg685@gmail.com;0
8;Anna;Najdek;1994-05-31;147198928;annanajdek611@gmail.com;0
9;Wanda;Wawrzyniak;1994-02-28;283632447;wandawawrzyniak761@wp.pl;0
10;Zofia;Podgórska;2002-04-30;111914474;zofiapodgórska846@gmail.com;0
11;Maja;Schulz;1997-09-30;961945142;majaschulz302@onet.pl;0
12;Wanda;Bajorek;2003-09-30;443247585;wandabajorek750@gmail.com;1
13;Karolina;Lewczuk;1999-01-31;251135287;karolinalewczuk319@gmail.com;0
14;Blanka;Smolik;2001-06-30;741812196;blankasmolik656@wp.pl;0
15;Zofia;Stachura;2001-10-31;131743779;zofiastachura481@wp.pl;0
16;Iga;Lee;1997-04-30;255387351;igalee472@wp.pl;0
17;Maria;Gołąb;2002-01-31;272564423;mariagołąb081@onet.pl;0
18;Liliana;Paśko;1999-04-30;442157894;lilianapaśko378@wp.pl;0
19;Iga;Kasperowicz;2003-10-31;996528801;igakasperowicz540@gmail.com;1
20;Laura;Ludwig;2003-04-30;704606559;lauraludwig173@onet.pl;0
21;Laura;Korsak;1997-02-28;928944128;laurakorsak246@wp.pl;0
22;Adrianna;Winkler;1994-08-31;464128209;adriannawinkler152@gmail.com;0
23;Aleksandra;Tomczak;1997-10-31;445326968;aleksandratomczak144@wp.pl;0
24;Kornelia;Czuba;2002-04-30;182455857;korneliaczuba848@gmail.com;1
25;Nadia;Kolińska;1999-10-31;447188130;nadiakolińska504@onet.pl;0
26;Dawid;Nikitin;1997-01-31;688104188;dawidnikitin445@gmail.com;0
27;Marcel;Nocoń;1999-06-30;403460428;marcelnocoń654@onet.pl;0
28;Karol;Tobiasz;2003-08-31;911318577;karoltobiasz607@wp.pl;1
29;Witold;Gliszczyński;2002-05-31;555349279;witoldgliszczyński071@onet.pl;1
30;Karol;Barcik;1998-05-31;166176017;karolbarcik863@gmail.com;0
31;Milan;Bakun;1998-06-30;699526270;milanbakun677@onet.pl;0
32;Hubert;Borzyszkowski;1997-04-30;406931034;hubertborzyszkowski793@wp.pl;0
33;Artur;Wójciak;1998-09-30;723644331;arturwójciak938@wp.pl;0
34;Wojciech;Dziedzic;1997-12-31;316154744;wojciechdziedzic984@gmail.com;0
35;Wiktor;Rybski;1998-09-30;190511665;wiktorrybski155@gmail.com;0
36;Oskar;Michalewicz;2001-02-28;860479201;oskarmichalewicz497@wp.pl;0
37;Wiktor;Kulawik;2006-01-31;635312604;wiktorkulawik040@wp.pl;0
38;Antoni;Kornatowski;2001-08-31;970993060;antonikornatowski318@wp.pl;0
39;Leon;Sawka;2003-01-31;289271902;leonsawka226@gmail.com;0
40;Cezary;Jaskółka;2001-04-30;774675012;cezaryjaskółka830@onet.pl;0
41;Krzysztof;Głowacki;1999-10-31;833422378;krzysztofgłowacki550@gmail.com;0
42;Miłosz;Podlaski;2001-10-31;784902658;miłoszpodlaski857@onet.pl;0
43;Antoni;Zaniewski;1999-07-31;440211073;antonizaniewski605@onet.pl;0
44;Ksawery;Guzek;1993-08-31;355922018;ksaweryguzek686@gmail.com;0
45;Piotr;Pieprzyk;1996-10-31;568513100;piotrpieprzyk785@wp.pl;0
46;Kamil;Volkov;1998-07-31;305295552;kamilvolkov381@wp.pl;0
47;Bartłomiej;Kwak;1994-02-28;553930532;bartłomiejkwak979@onet.pl;0
48;Cezary;Zientek;1996-07-31;352057850;cezaryzientek464@gmail.com;0
49;Gabriel;Płusa;2003-01-31;925474606;gabrielpłusa942@wp.pl;1
50;Wiktor;Zastawny;2000-08-31;225210830;wiktorzastawny881@gmail.com;0
51;Gabriel;Zarzeczny;2001-11-30;307597105;gabrielzarzeczny936@wp.pl;0
52;Filip;Szmyt;2001-05-31;526966596;filipszmyt471@onet.pl;0
53;Marcel;Sulewski;2000-11-30;407018623;marcelsulewski781@wp.pl;0
54;Cezary;Stopyra;2003-10-31;155879600;cezarystopyra572@gmail.com;1
55;Maksymilian;Kozicki;2003-03-31;469743815;maksymiliankozicki980@onet.pl;0
56;Witold;Nesterenko;2006-01-31;670405488;witoldnesterenko280@gmail.com;0
57;Mark;Sobota;1996-03-31;314325460;marksobota040@gmail.com;0
58;Borys;Toporowski;2004-07-31;332801650;borystoporowski734@wp.pl;1
59;Szymon;Ząbek;1998-12-31;742214569;szymonząbek087@gmail.com;0
60;Franciszek;Matysik;2002-02-28;821693727;franciszekmatysik636@onet.pl;0
61;Tymon;Czubak;2000-08-31;170346077;tymonczubak005@wp.pl;0
62;Daniel;Wiktorowski;1998-05-31;313262216;danielwiktorowski119@gmail.com;0
63;Tymon;Hryniewicz;1998-08-31;684131689;tymonhryniewicz216@wp.pl;0
64;Igor;Kolanowski;2000-10-31;151952863;igorkolanowski414@onet.pl;0
65;Bartosz;Łoziński;2003-11-30;385569314;bartoszłoziński660@gmail.com;0
66;Józef;Wojas;1997-03-31;831285314;józefwojas563@wp.pl;0
67;Cezary;Osiński;1998-06-30;621074387;cezaryosiński424@onet.pl;0
68;Witold;Wójcikowski;2000-07-31;169334710;witoldwójcikowski352@wp.pl;0
69;Maciej;Ćwikła;1998-12-31;426095125;maciejćwikła415@onet.pl;0
70;Jakub;Rak;2001-07-31;252213932;jakubrak075@onet.pl;0
71;Szymon;Wąż;2003-04-30;994614176;szymonwąż613@onet.pl;0
72;Nikodem;Makarov;1997-11-30;471568766;nikodemmakarov015@gmail.com;0
73;Artur;Tworkowski;2002-01-31;332648052;arturtworkowski655@onet.pl;0
74;Wiktor;Szabłowski;2001-01-31;176125948;wiktorszabłowski544@gmail.com;0
75;Józef;Neumann;1998-12-31;378681824;józefneumann226@wp.pl;0
76;Witold;Kossakowski;2001-05-31;689169763;witoldkossakowski540@onet.pl;0
77;Leon;Witak;2000-04-30;149240141;leonwitak067@wp.pl;0
78;Maciej;Czapla;2000-11-30;227896501;maciejczapla997@gmail.com;0
79;Mark;Matecki;2000-04-30;749115326;markmatecki078@gmail.com;0
80;Natan;Sokalski;1996-07-31;343173351;natansokalski912@gmail.com;0
81;Maciej;Balcer;2000-02-29;660002816;maciejbalcer066@wp.pl;1
82;Milan;Bączkowski;2005-06-30;778613467;milanbączkowski979@gmail.com;0
83;Antoni;Chudziński;2001-08-31;804505313;antonichudziński996@wp.pl;0
84;Mark;Jaroszek;1995-01-31;605168592;markjaroszek682@wp.pl;0
85;Bruno;Gańko;1998-09-30;450726634;brunogańko769@onet.pl;0
86;Oskar;Nitka;2004-10-31;329814966;oskarnitka711@onet.pl;1
87;Krzysztof;Cebula;2001-10-31;620259524;krzysztofcebula646@onet.pl;0
88;Natan;Kukuła;1998-01-31;953384544;natankukuła264@gmail.com;0
89;Marcel;Niedbalski;2002-12-31;241673311;marcelniedbalski785@onet.pl;0
90;Tadeusz;Hoffmann;1998-03-31;218543161;tadeuszhoffmann872@onet.pl;0
91;Bruno;Kwieciński;1999-03-31;756699591;brunokwieciński977@onet.pl;0
92;Hubert;Wolak;1997-03-31;129052487;hubertwolak088@wp.pl;0
93;Leo;Bułat;2001-02-28;822149342;leobułat679@gmail.com;0
94;Borys;Lasak;2000-09-30;701757299;boryslasak788@onet.pl;0
95;Ksawery;Sobczak;2001-12-31;691190228;ksawerysobczak059@gmail.com;0
96;Adam;Łazarz;2002-09-30;452266178;adamłazarz770@wp.pl;1
97;Natan;Malczyk;2005-03-31;150995989;natanmalczyk253@onet.pl;0
98;Kazimierz;Kalbarczyk;2001-11-30;610571525;kazimierzkalbarczyk764@onet.pl;0
99;Dominik;Czarnowski;1997-07-31;702662896;dominikczarnowski006@onet.pl;0
100;Julian;Musiałek;1997-09-30;232758936;julianmusiałek657@gmail.com;0
101;Mateusz;Ponichtera;2003-10-31;956657543;mateuszponichtera477@onet.pl;1
102;Michał;Danowski;2003-07-31;988830087;michałdanowski093@onet.pl;0
103;Mateusz;Wawer;2002-10-31;522054690;mateuszwawer189@gmail.com;1
104;Natan;Gąsiewski;2002-12-31;894335854;natangąsiewski315@onet.pl;0
105;Nikodem;Węglewski;1998-11-30;376598519;nikodemwęglewski660@wp.pl;0
106;Alan;Hofman;1997-01-31;984398783;alanhofman313@wp.pl;0
107;Kamil;Bialik;2003-09-30;641301846;kamilbialik451@wp.pl;1
108;Kajetan;Gruchała;1998-12-31;300719118;kajetangruchała168@onet.pl;0
109;Mikołaj;Wydrzyński;1999-09-30;721544598;mikołajwydrzyński139@gmail.com;0
110;Leon;Kliś;2002-09-30;348201473;leonkliś544@wp.pl;0
111;Tadeusz;Grochala;2002-08-31;348593023;tadeuszgrochala670@onet.pl;0
112;Józef;Bandura;1999-10-31;256790120;józefbandura280@gmail.com;0
113;Krzysztof;Kosik;1998-07-31;706423217;krzysztofkosik114@onet.pl;0
114;Szymon;Matuszek;1998-07-31;214780788;szymonmatuszek369@gmail.com;0
115;Tomasz;Marcisz;2004-09-30;416846737;tomaszmarcisz473@onet.pl;1
116;Kajetan;Górniak;2001-07-31;299853981;kajetangórniak346@gmail.com;0
117;Igor;Kurzawski;1993-05-31;809338989;igorkurzawski337@onet.pl;0
118;Wojciech;Kusy;1997-02-28;648112824;wojciechkusy947@gmail.com;0
119;Ignacy;Barabasz;1996-11-30;703088833;ignacybarabasz342@wp.pl;0
120;Mark;Szymik;1994-04-30;730733739;markszymik863@onet.pl;0
121;Kuba;Szczygieł;1997-03-31;557058689;kubaszczygieł303@wp.pl;0
122;Kuba;Czop;2005-10-31;420881380;kubaczop047@onet.pl;0
123;Teodor;Ryś;1996-03-31;916421399;teodorryś815@gmail.com;0
124;Mateusz;Wika;2000-04-30;285065024;mateuszwika473@onet.pl;0
125;Piotr;Homa;1998-05-31;840385474;piotrhoma119@wp.pl;0
126;Kazimierz;Nazarenko;1998-11-30;998260444;kazimierznazarenko549@gmail.com;0
127;Mikołaj;Urbanowicz;1998-05-31;487591268;mikołajurbanowicz879@onet.pl;0
128;Dominik;Niewiński;1998-04-30;378960729;dominikniewiński876@wp.pl;0
