id_klienta;imie;nazwisko;data_urodzenia;znizka;numer_telefonu;adres_email;status_studenta
1;Magdalena;Jarosz;1973-02-28;0.75;532138425;magdalenajarosz109@onet.pl;0
2;Emilia;Honcharuk;1940-01-31;0.5;153966918;emiliahoncharuk901@wp.pl;0
3;Karolina;Becker;1990-04-30;0.9;861624102;karolinabecker840@gmail.com;0
4;Amelia;Jankowska;1983-05-31;0.85;901809801;ameliajankowska125@wp.pl;0
5;Adrianna;Filipkowska;1967-08-31;0.75;823194065;adriannafilipkowska561@gmail.com;0
6;Barbara;Ligęza;1976-07-31;0.85;697092028;barbaraligęza385@gmail.com;0
7;Alicja;Wyszyńska;1929-02-28;0.5;131233811;alicjawyszyńska325@wp.pl;0
8;Klara;Plichta;1953-10-31;0.5;633616547;klaraplichta547@wp.pl;0
9;Martyna;Łojek;1965-01-31;0.65;376830629;martynałojek397@onet.pl;0
10;Kornelia;Bodnar;1944-01-31;0.5;599448129;korneliabodnar200@wp.pl;0
11;Alicja;Domagalska;1945-10-31;0.5;949645361;alicjadomagalska906@wp.pl;0
12;Maria;Walaszek;2006-05-31;1.0;985712003;mariawalaszek589@gmail.com;0
13;Weronika;Panfil;1988-11-30;0.9;613887725;weronikapanfil379@gmail.com;0
14;Zuzanna;Romanik;1968-01-31;0.75;747000448;zuzannaromanik496@onet.pl;0
15;Mia;Ciborowska;1988-12-31;0.9;140788792;miaciborowska914@onet.pl;0
16;Klara;Mularczyk;1971-07-31;0.75;259974109;klaramularczyk813@onet.pl;0
17;Aniela;Kądziela;1955-05-31;0.65;290492816;anielakądziela431@wp.pl;0
18;Magdalena;Turkowska;1972-04-30;0.75;299311209;magdalenaturkowska205@onet.pl;0
19;Lena;Kawczyńska;1975-07-31;0.85;419725085;lenakawczyńska838@gmail.com;0
20;Gabriela;Pomykała;1977-12-31;0.85;207989203;gabrielapomykała288@onet.pl;0
21;Milena;Babicz;1926-12-31;0.5;836273658;milenababicz667@wp.pl;0
22;Wiktoria;Ziaja;1955-06-30;0.65;601889936;wiktoriaziaja400@wp.pl;0
23;Agata;Guz;1928-04-30;0.5;364397046;agataguz391@wp.pl;0
24;Gabriela;Kleszcz;1940-07-31;0.5;533365473;gabrielakleszcz984@onet.pl;0
25;Julia;Krawczyńska;1954-11-30;0.5;194101646;juliakrawczyńska390@gmail.com;0
26;Iga;Jańczak;1998-06-30;1.0;527423705;igajańczak991@onet.pl;0
27;Melania;Bober;1985-02-28;0.9;201414237;melaniabober782@gmail.com;0
28;Aleksandra;Krzeszewska;1971-03-31;0.75;494580445;aleksandrakrzeszewska409@wp.pl;0
29;Kinga;Maliszewska;1972-08-31;0.75;629005291;kingamaliszewska326@wp.pl;0
30;Aurelia;Bartosińska;1941-06-30;0.5;532226511;aureliabartosińska390@onet.pl;0
31;Antonina;Zwierzyńska;2005-11-30;1.0;833945320;antoninazwierzyńska227@onet.pl;0
32;Zuzanna;Lemańczyk;1993-11-30;0.9;762860249;zuzannalemańczyk946@gmail.com;0
33;Łucja;Rogowska;1992-04-30;0.9;263973783;łucjarogowska627@gmail.com;0
34;Adrianna;Kruszewska;2002-09-30;0.49;173207404;adriannakruszewska704@gmail.com;1
35;Marianna;Bętkowska;1979-11-30;0.85;839537120;mariannabętkowska588@wp.pl;0
36;Mia;Marciniak;1993-06-30;0.9;274639856;miamarciniak447@gmail.com;0
37;Jaśmina;Kawałek;1977-03-31;0.85;359780708;jaśminakawałek274@gmail.com;0
