id_osoby_bliskiej;imie;nazwisko;numer_telefonu;adres_email
1;AGATA;KOWOLIK;980694520;agatakowolik929@wp.pl
2;KAZIMIERZ;SAKOWICZ;113167352;kazimierzsakowicz186@onet.pl
3;BRUNO;SNARSKI;352362248;brunosnarski347@onet.pl
4;TEODOR;CZAPIEWSKI;659902013;teodorczapiewski126@onet.pl
5;ZOFIA;JUSKOWIAK;155243687;zofiajuskowiak389@gmail.com
6;ŁUCJA;JURAK;957848939;łucjajurak458@gmail.com
7;NATALIA;IWANIUK;305219014;nataliaiwaniuk649@gmail.com
8;MARK;DERA;920109737;markdera992@gmail.com
9;KLARA;SZUMIŃSKA;185239880;klaraszumińska802@wp.pl
10;JULIA;MARCHLEWSKA;518763130;juliamarchlewska704@onet.pl
11;MATEUSZ;GRONEK;867935628;mateuszgronek227@wp.pl
12;JÓZEF;STASZKIEWICZ;826052808;józefstaszkiewicz229@gmail.com
13;MIŁOSZ;WASZKIEWICZ;588433142;miłoszwaszkiewicz736@gmail.com
14;KORNELIA;BABULA;693105817;korneliababula514@gmail.com
15;BARTŁOMIEJ;OZDOBA;245909748;bartłomiejozdoba746@gmail.com
16;HANNA;BANASZKIEWICZ;828560386;hannabanaszkiewicz469@gmail.com
17;KINGA;KALISZ;814096519;kingakalisz285@wp.pl
18;ANASTAZJA;LITWIŃSKA;436434524;anastazjalitwińska553@gmail.com
19;JAGODA;STANOWSKA;898971830;jagodastanowska701@onet.pl
20;IGNACY;POLEK;296359015;ignacypolek970@gmail.com
21;HENRYK;KARBOWSKI;737849442;henrykkarbowski623@wp.pl
22;IGOR;HRYNIEWICZ;840981048;igorhryniewicz624@wp.pl
23;KINGA;KRZESZEWSKA;464405799;kingakrzeszewska336@wp.pl
24;IGNACY;BABIK;213559039;ignacybabik894@gmail.com
25;MARCELINA;GWIŻDŻ;845707716;marcelinagwiżdż452@gmail.com
26;ANASTAZJA;CHABOWSKA;839026119;anastazjachabowska325@wp.pl
27;ADAM;POHL;202005980;adampohl438@wp.pl
28;MICHALINA;CHMIELECKA;251023061;michalinachmielecka330@gmail.com
29;BARTOSZ;WÓJCIK;888451987;bartoszwójcik116@wp.pl
30;SZYMON;FRĄTCZAK;582081718;szymonfrątczak555@wp.pl
31;OLIWIA;GRACZYK;317444824;oliwiagraczyk535@wp.pl
32;JAŚMINA;LICHOTA;135786951;jaśminalichota393@gmail.com
33;POLA;ZIOMEK;362414370;polaziomek904@wp.pl
34;ANTONINA;JAROSIŃSKA;571318021;antoninajarosińska572@wp.pl
35;JAKUB;KORZENIOWSKI;527445573;jakubkorzeniowski773@onet.pl
36;MICHALINA;RĘKAS;293121740;michalinarękas747@onet.pl
37;ARTUR;FISZER;715935772;arturfiszer442@onet.pl
38;KSAWERY;MATVIICHUK;768405717;ksawerymatviichuk052@wp.pl
39;OLIWIA;RADOŃ;472562911;oliwiaradoń238@onet.pl
40;PIOTR;LAZAR;171460412;piotrlazar006@wp.pl
41;TOMASZ;HENDZEL;937499485;tomaszhendzel968@onet.pl
42;ANTONINA;GŁOWIŃSKA;363100647;antoninagłowińska434@wp.pl
43;LILIANA;PLUCIŃSKA;821627935;lilianaplucińska573@onet.pl
44;NATALIA;BOSAK;204687180;nataliabosak222@wp.pl
