id_pracownika;imię;nazwisko;stanowisko;numer telefonu;adres email
1;Gaja;Libera;przewodnik;612472198;gajalibera769@nowowiejska.com
2;Maja;Kułaga;przewodnik;132709599;majakułaga050@nowowiejska.com
3;Emilia;Parol;przewodnik;157181606;emiliaparol197@nowowiejska.com
4;Weronika;Cieślar;przewodnik;918009441;weronikacieślar526@nowowiejska.com
5;Barbara;Stefańczyk;przewodnik;384950502;barbarastefańczyk970@nowowiejska.com
6;Kaja;Szyszkowska;przewodnik;727832705;kajaszyszkowska493@nowowiejska.com
7;Liliana;Bajek;przewodnik;230929495;lilianabajek412@nowowiejska.com
8;Klara;Przygodzka;przewodnik;122387649;klaraprzygodzka882@nowowiejska.com
9;Lilianna;Czechowicz;przewodnik;624177997;liliannaczechowicz149@nowowiejska.com
10;Milena;Wojcieszek;przewodnik;296358310;milenawojcieszek236@nowowiejska.com
11;Marianna;Bocheńska;przewodnik;453763526;mariannabocheńska066@nowowiejska.com
12;Jagoda;Wojas;przewodnik;441430845;jagodawojas847@nowowiejska.com
13;Weronika;Pietrowska;przewodnik;964374209;weronikapietrowska174@nowowiejska.com
14;Eliza;Sitarek;przewodnik;186705132;elizasitarek080@nowowiejska.com
15;Liliana;Kozubek;przewodnik;806060973;lilianakozubek054@nowowiejska.com
16;Blanka;Łozińska;przewodnik;411768252;blankałozińska527@nowowiejska.com
17;Jagoda;Winter;przewodnik;226277598;jagodawinter017@nowowiejska.com
18;Anna;Ruchała;przewodnik;927315520;annaruchała340@nowowiejska.com
19;Aurelia;Łagowska;przewodnik;740614476;aureliałagowska097@nowowiejska.com
20;Eliza;Richter;przewodnik;811604611;elizarichter875@nowowiejska.com
21;Wiktoria;Jeleń;przewodnik;745040236;wiktoriajeleń889@nowowiejska.com
22;Oliwia;Łapińska;przewodnik;342111832;oliwiałapińska924@nowowiejska.com
23;Matylda;Konopko;przewodnik;311946576;matyldakonopko410@nowowiejska.com
24;Karolina;Jędrzejowska;przewodnik;709582721;karolinajędrzejowska757@nowowiejska.com
25;Zuzanna;Frydrych;przewodnik;716678771;zuzannafrydrych666@nowowiejska.com
26;Laura;Żelazko;przewodnik;398757746;laurażelazko741@nowowiejska.com
27;Lilianna;Goszczyńska;przewodnik;417479099;liliannagoszczyńska002@nowowiejska.com
28;Blanka;Moroz;przewodnik;122017020;blankamoroz184@nowowiejska.com
29;Anna;Kołodziej;przewodnik;630243917;annakołodziej017@nowowiejska.com
30;Klara;Bukała;przewodnik;664880078;klarabukała759@nowowiejska.com
31;Emilia;Mleczko;kierowca;408180398;emiliamleczko514@nowowiejska.com
32;Karolina;Szczotka;kierowca;585486903;karolinaszczotka186@nowowiejska.com
33;Nadia;Jończyk;kierowca;178301473;nadiajończyk400@nowowiejska.com
34;Zofia;Okoniewska;kierowca;864529327;zofiaokoniewska734@nowowiejska.com
35;Michalina;Pałasz;kierowca;718338377;michalinapałasz495@nowowiejska.com
36;Magdalena;Ochał;kierowca;772594883;magdalenaochał402@nowowiejska.com
37;Aurelia;Stasiak;kierowca;935216031;aureliastasiak890@nowowiejska.com
38;Julia;Garbacz;kierowca;410440229;juliagarbacz197@nowowiejska.com
39;Zofia;Sawińska;kierowca;200776187;zofiasawińska970@nowowiejska.com
40;Amelia;Hirsz;kierowca;688847191;ameliahirsz868@nowowiejska.com
41;Kaja;Patyk;kierowca;555940302;kajapatyk477@nowowiejska.com
42;Marianna;Dolecka;kierowca;685919450;mariannadolecka795@nowowiejska.com
43;Kinga;Bila;kierowca;914794560;kingabila133@nowowiejska.com
44;Nela;Talar;kierowca;546664181;nelatalar203@nowowiejska.com
45;Hanna;Dudkowska;kierowca;748504728;hannadudkowska774@nowowiejska.com
46;Mateusz;Sęk;przewodnik;307211924;mateuszsęk872@nowowiejska.com
47;Alan;Grzelak;przewodnik;871037978;alangrzelak248@nowowiejska.com
48;Wojciech;Kopera;przewodnik;682579202;wojciechkopera408@nowowiejska.com
49;Borys;Czarniecki;przewodnik;288542338;borysczarniecki564@nowowiejska.com
50;Józef;Kopiec;przewodnik;150843136;józefkopiec531@nowowiejska.com
51;Piotr;Parys;przewodnik;595588620;piotrparys671@nowowiejska.com
52;Ksawery;Kalbarczyk;przewodnik;566420329;ksawerykalbarczyk602@nowowiejska.com
53;Natan;Sosin;przewodnik;259683972;natansosin738@nowowiejska.com
54;Mikołaj;Berg;przewodnik;991825503;mikołajberg744@nowowiejska.com
