id_pracownika;imie;nazwisko;stanowisko;numer_telefonu;adres_email
1;Helena;Tyrka;przewodnik;913689866;helenatyrka851@nowowiejska.com
2;Oliwia;Izdebska;przewodnik;643033665;oliwiaizdebska812@nowowiejska.com
3;Zofia;Buczek;przewodnik;136825085;zofiabuczek174@nowowiejska.com
4;Antonina;Włosek;przewodnik;566402669;antoninawłosek400@nowowiejska.com
5;Anna;Łukawska;przewodnik;857204221;annałukawska079@nowowiejska.com
6;Aleksandra;Velychko;przewodnik;600504322;aleksandravelychko251@nowowiejska.com
7;Mia;Gąska;przewodnik;100393551;miagąska831@nowowiejska.com
8;Maria;Ramotowska;przewodnik;340548420;mariaramotowska370@nowowiejska.com
9;Kornelia;Skrzyńska;przewodnik;514838199;korneliaskrzyńska479@nowowiejska.com
10;Nina;Machowska;przewodnik;547634314;ninamachowska976@nowowiejska.com
11;Lena;Koch;przewodnik;938645940;lenakoch969@nowowiejska.com
12;Maria;Płochocka;przewodnik;215477632;mariapłochocka182@nowowiejska.com
13;Adrianna;Kamionka;przewodnik;953249224;adriannakamionka458@nowowiejska.com
14;Matylda;Jarocka;przewodnik;987683477;matyldajarocka448@nowowiejska.com
15;Gabriela;Filipska;przewodnik;882243535;gabrielafilipska919@nowowiejska.com
16;Kaja;Gierszewska;przewodnik;978136436;kajagierszewska622@nowowiejska.com
17;Martyna;Kałużna;przewodnik;614768659;martynakałużna115@nowowiejska.com
18;Aurelia;Branicka;przewodnik;755601778;aureliabranicka775@nowowiejska.com
19;Eliza;Roszak;przewodnik;892363385;elizaroszak436@nowowiejska.com
20;Zofia;Marczuk;przewodnik;189377999;zofiamarczuk221@nowowiejska.com
21;Jagoda;Załęska;przewodnik;886226930;jagodazałęska911@nowowiejska.com
22;Iga;Ostapchuk;przewodnik;358707049;igaostapchuk944@nowowiejska.com
23;Jaśmina;Muszyńska;przewodnik;899686420;jaśminamuszyńska476@nowowiejska.com
24;Barbara;Żaczek;przewodnik;300368377;barbarażaczek942@nowowiejska.com
25;Eliza;Nędza;przewodnik;244872964;elizanędza466@nowowiejska.com
26;Hanna;Müller;przewodnik;677232213;hannamüller484@nowowiejska.com
27;Matylda;Filipczak;przewodnik;482846752;matyldafilipczak103@nowowiejska.com
28;Rozalia;Maciaszczyk;przewodnik;264987372;rozaliamaciaszczyk800@nowowiejska.com
29;Hanna;Swoboda;przewodnik;109147028;hannaswoboda022@nowowiejska.com
30;Nadia;Misiek;przewodnik;581930521;nadiamisiek572@nowowiejska.com
31;Barbara;Kopeć;przewodnik;710967154;barbarakopeć696@nowowiejska.com
32;Lena;Rybakowska;przewodnik;232683261;lenarybakowska979@nowowiejska.com
33;Pola;Banaszewska;przewodnik;621000688;polabanaszewska211@nowowiejska.com
34;Magdalena;Lechowicz;przewodnik;260652096;magdalenalechowicz596@nowowiejska.com
35;Nikola;Matysiak;przewodnik;671465727;nikolamatysiak491@nowowiejska.com
36;Gaja;Brożyna;przewodnik;486327613;gajabrożyna648@nowowiejska.com
37;Julia;Zacharska;przewodnik;922193612;juliazacharska115@nowowiejska.com
38;Barbara;Gapińska;przewodnik;924110113;barbaragapińska649@nowowiejska.com
39;Aleksandra;Kupińska;przewodnik;169769661;aleksandrakupińska298@nowowiejska.com
40;Liliana;Poprawska;przewodnik;984604471;lilianapoprawska453@nowowiejska.com
41;Barbara;Hałasa;przewodnik;300827617;barbarahałasa581@nowowiejska.com
42;Kaja;Li;przewodnik;802814611;kajali696@nowowiejska.com
43;Michalina;Pisarek;przewodnik;593836601;michalinapisarek381@nowowiejska.com
44;Anastazja;Śmiałek;przewodnik;298201770;anastazjaśmiałek776@nowowiejska.com
45;Laura;Serdiuk;przewodnik;608632174;lauraserdiuk671@nowowiejska.com
46;Jaśmina;Dymek;przewodnik;519192119;jaśminadymek384@nowowiejska.com
47;Lena;Rymarczyk;przewodnik;194682952;lenarymarczyk947@nowowiejska.com
48;Blanka;Lewczuk;przewodnik;645492743;blankalewczuk650@nowowiejska.com
49;Kinga;Sacha;przewodnik;992168751;kingasacha843@nowowiejska.com
50;Hanna;Barcikowska;przewodnik;109171592;hannabarcikowska133@nowowiejska.com
51;Alicja;Majerczyk;przewodnik;719782881;alicjamajerczyk447@nowowiejska.com
52;Adrianna;Jaskółka;przewodnik;903952912;adriannajaskółka447@nowowiejska.com
53;Łucja;Moroz;przewodnik;928605818;łucjamoroz621@nowowiejska.com
54;Milena;Klimaszewska;przewodnik;460211024;milenaklimaszewska247@nowowiejska.com
55;Aleksandra;Otręba;przewodnik;193065740;aleksandraotręba687@nowowiejska.com
56;Magdalena;Leś;przewodnik;207973339;magdalenaleś190@nowowiejska.com
57;Zofia;Łyko;przewodnik;768525656;zofiałyko843@nowowiejska.com
58;Zofia;Galewska;przewodnik;101831728;zofiagalewska587@nowowiejska.com
59;Anastazja;Bała;przewodnik;987647218;anastazjabała777@nowowiejska.com
60;Wiktoria;Kochan;przewodnik;836351741;wiktoriakochan386@nowowiejska.com
61;Kinga;Czyżewska;przewodnik;436033235;kingaczyżewska390@nowowiejska.com
62;Jagoda;Latocha;przewodnik;668373687;jagodalatocha895@nowowiejska.com
63;Iga;Pisarska;przewodnik;589066947;igapisarska906@nowowiejska.com
64;Anna;Kuśmierek;przewodnik;201576372;annakuśmierek620@nowowiejska.com
65;Weronika;Kotynia;przewodnik;422957108;weronikakotynia722@nowowiejska.com
66;Gabriela;Soboń;przewodnik;260832275;gabrielasoboń792@nowowiejska.com
67;Adrianna;Jóźwiak;przewodnik;453280142;adriannajóźwiak615@nowowiejska.com
68;Róża;Yavorska;przewodnik;760826932;różayavorska385@nowowiejska.com
69;Mia;Szewczyk;przewodnik;566767359;miaszewczyk301@nowowiejska.com
70;Liwia;Pozorska;przewodnik;220307182;liwiapozorska925@nowowiejska.com
71;Julia;Kicińska;przewodnik;521789399;juliakicińska391@nowowiejska.com
72;Sara;Stalmach;przewodnik;504699923;sarastalmach854@nowowiejska.com
73;Eliza;Dudzińska;przewodnik;921739212;elizadudzińska738@nowowiejska.com
74;Milena;Dopierała;przewodnik;863328419;milenadopierała492@nowowiejska.com
75;Agata;Makuła;przewodnik;175682778;agatamakuła483@nowowiejska.com
76;Hanna;Danielczyk;przewodnik;818030361;hannadanielczyk409@nowowiejska.com
77;Antonina;Rolka;przewodnik;637651745;antoninarolka713@nowowiejska.com
78;Barbara;Pruska;przewodnik;839915206;barbarapruska650@nowowiejska.com
79;Kinga;Kalbarczyk;przewodnik;392256259;kingakalbarczyk681@nowowiejska.com
80;Michalina;Nikolaieva;przewodnik;112478995;michalinanikolaieva944@nowowiejska.com
81;Melania;Petruk;przewodnik;282512018;melaniapetruk221@nowowiejska.com
82;Nela;Niedziela;przewodnik;162752093;nelaniedziela684@nowowiejska.com
83;Wiktoria;Krawczuk;przewodnik;347029806;wiktoriakrawczuk609@nowowiejska.com
84;Hanna;Wichrowska;przewodnik;900245027;hannawichrowska460@nowowiejska.com
85;Milena;Seroka;przewodnik;413704259;milenaseroka313@nowowiejska.com
86;Amelia;Rusinek;przewodnik;934105931;ameliarusinek159@nowowiejska.com
87;Jaśmina;Marczyńska;przewodnik;344242880;jaśminamarczyńska409@nowowiejska.com
88;Adrianna;Hawryluk;przewodnik;287637757;adriannahawryluk907@nowowiejska.com
89;Natalia;Babenko;przewodnik;909760758;nataliababenko853@nowowiejska.com
90;Pola;Domżalska;przewodnik;433630170;poladomżalska785@nowowiejska.com
91;Jagoda;Bujak;przewodnik;342901727;jagodabujak286@nowowiejska.com
92;Kaja;Gabor;przewodnik;906740905;kajagabor566@nowowiejska.com
93;Alicja;Gąsiorowska;przewodnik;623185263;alicjagąsiorowska204@nowowiejska.com
94;Helena;Szopa;przewodnik;342380975;helenaszopa506@nowowiejska.com
95;Alicja;Jakubiec;przewodnik;974672470;alicjajakubiec866@nowowiejska.com
96;Gaja;Gałązka;przewodnik;316688461;gajagałązka001@nowowiejska.com
97;Pola;Wijas;przewodnik;357399354;polawijas574@nowowiejska.com
98;Martyna;Knop;przewodnik;620084749;martynaknop891@nowowiejska.com
99;Nadia;Czopek;przewodnik;581816813;nadiaczopek564@nowowiejska.com
100;Zuzanna;Kostrubiec;przewodnik;365917459;zuzannakostrubiec174@nowowiejska.com
101;Helena;Wojciechowicz;przewodnik;453157076;helenawojciechowicz423@nowowiejska.com
102;Wanda;Stefanek;przewodnik;121323216;wandastefanek403@nowowiejska.com
103;Pola;Furmańczyk;przewodnik;637738985;polafurmańczyk320@nowowiejska.com
104;Róża;Szczepańczyk;przewodnik;722258403;różaszczepańczyk653@nowowiejska.com
105;Maria;Dusza;przewodnik;359851487;mariadusza062@nowowiejska.com
106;Nela;Hryhorieva;przewodnik;422265054;nelahryhorieva639@nowowiejska.com
107;Eliza;Klimkowska;przewodnik;407081622;elizaklimkowska145@nowowiejska.com
108;Gabriela;Karczmarczyk;przewodnik;549498241;gabrielakarczmarczyk289@nowowiejska.com
109;Aniela;Kałuża;przewodnik;382474066;anielakałuża501@nowowiejska.com
110;Nina;Ołdak;przewodnik;538009649;ninaołdak261@nowowiejska.com
